Amkar Perm,Arsenal Tula,0,1
Amkar Perm,CSKA Moscow,1,0
Amkar Perm,Dynamo Moscow,2,0
Amkar Perm,Krasnodar,1,2
Amkar Perm,Kuban,1,0
Amkar Perm,Lokomotiv Moscow,1,1
Amkar Perm,Mordovia Saransk,0,1
Amkar Perm,Rostov,2,0
Amkar Perm,Rubin Kazan,0,3
Amkar Perm,Spartak Moscow,2,0
Amkar Perm,Terek Grozny,2,1
Amkar Perm,Torpedo Moscow,0,0
Amkar Perm,Ufa,0,1
Amkar Perm,Ural Sverdlovsk Oblast,2,1
Amkar Perm,Zenit St. Petersburg,1,0
Arsenal Tula,Amkar Perm,4,0
Arsenal Tula,CSKA Moscow,1,4
Arsenal Tula,Dynamo Moscow,1,2
Arsenal Tula,Krasnodar,0,3
Arsenal Tula,Kuban,0,1
Arsenal Tula,Lokomotiv Moscow,0,2
Arsenal Tula,Mordovia Saransk,0,1
Arsenal Tula,Rostov,1,1
Arsenal Tula,Rubin Kazan,0,0
Arsenal Tula,Spartak Moscow,1,0
Arsenal Tula,Terek Grozny,1,1
Arsenal Tula,Torpedo Moscow,1,3
Arsenal Tula,Ufa,0,1
Arsenal Tula,Ural Sverdlovsk Oblast,1,2
Arsenal Tula,Zenit St. Petersburg,0,4
CSKA Moscow,Amkar Perm,2,1
CSKA Moscow,Arsenal Tula,2,1
CSKA Moscow,Dynamo Moscow,1,2
CSKA Moscow,Krasnodar,1,1
CSKA Moscow,Kuban,6,0
CSKA Moscow,Lokomotiv Moscow,1,0
CSKA Moscow,Mordovia Saransk,4,0
CSKA Moscow,Rostov,6,0
CSKA Moscow,Rubin Kazan,3,0
CSKA Moscow,Spartak Moscow,0,1
CSKA Moscow,Terek Grozny,1,0
CSKA Moscow,Torpedo Moscow,4,1
CSKA Moscow,Ufa,5,0
CSKA Moscow,Ural Sverdlovsk Oblast,3,1
CSKA Moscow,Zenit St. Petersburg,0,1
Dynamo Moscow,Amkar Perm,5,0
Dynamo Moscow,Arsenal Tula,2,2
Dynamo Moscow,CSKA Moscow,1,0
Dynamo Moscow,Krasnodar,1,1
Dynamo Moscow,Kuban,2,2
Dynamo Moscow,Lokomotiv Moscow,2,2
Dynamo Moscow,Mordovia Saransk,2,1
Dynamo Moscow,Rostov,7,3
Dynamo Moscow,Rubin Kazan,0,2
Dynamo Moscow,Spartak Moscow,1,2
Dynamo Moscow,Terek Grozny,3,0
Dynamo Moscow,Torpedo Moscow,0,0
Dynamo Moscow,Ufa,3,1
Dynamo Moscow,Ural Sverdlovsk Oblast,2,0
Dynamo Moscow,Zenit St. Petersburg,0,1
Krasnodar,Amkar Perm,1,1
Krasnodar,Arsenal Tula,3,0
Krasnodar,CSKA Moscow,2,1
Krasnodar,Dynamo Moscow,0,2
Krasnodar,Kuban,3,2
Krasnodar,Lokomotiv Moscow,1,0
Krasnodar,Mordovia Saransk,4,0
Krasnodar,Rostov,2,1
Krasnodar,Rubin Kazan,2,0
Krasnodar,Spartak Moscow,4,0
Krasnodar,Terek Grozny,2,0
Krasnodar,Torpedo Moscow,2,2
Krasnodar,Ufa,0,2
Krasnodar,Ural Sverdlovsk Oblast,1,1
Krasnodar,Zenit St. Petersburg,2,2
Kuban,Amkar Perm,1,0
Kuban,Arsenal Tula,5,1
Kuban,CSKA Moscow,0,1
Kuban,Dynamo Moscow,1,2
Kuban,Krasnodar,1,1
Kuban,Lokomotiv Moscow,2,1
Kuban,Mordovia Saransk,0,0
Kuban,Rostov,2,2
Kuban,Rubin Kazan,2,1
Kuban,Spartak Moscow,3,3
Kuban,Terek Grozny,1,0
Kuban,Torpedo Moscow,1,1
