MSV Duisburg,1. FC Kaiserslautern,1,3
SpVgg Greuther Fürth,Karlsruher SC,1,0
FC St. Pauli,Arminia Bielefeld,0,0
FSV Frankfurt,RB Leipzig,0,1
SC Paderborn,VfL Bochum,0,1
Eintracht Braunschweig,SV Sandhausen,1,3
FC Union Berlin,Fortuna Düsseldorf,1,1
1. FC Heidenheim,1860 München,1,0
SC Freiburg,1. FC Nürnberg,6,3
1. FC Nürnberg,1. FC Heidenheim,3,2
Arminia Bielefeld,FSV Frankfurt,0,0
1. FC Kaiserslautern,Eintracht Braunschweig,0,0
VfL Bochum,MSV Duisburg,3,0
1860 München,SC Freiburg,0,1
Fortuna Düsseldorf,SC Paderborn,1,2
Karlsruher SC,FC St. Pauli,1,2
SV Sandhausen,FC Union Berlin,4,3
RB Leipzig,SpVgg Greuther Fürth,2,2
